Sum_VT,Last_VT,Max_VT,Delta_Max_Min_VT,is_swarm_detected_VT,Sum_LP,Last_LP,Max_LP,Delta_Max_Min_LP,is_swarm_detected_LP,Sum_tornillo,Last_tornillo,Max_tornillo,Delta_Max_Min_tornillo,is_swarm_detected_tornillo,Sum_Precipitations,Last_Precipitations,Max_Precipitations,Delta_Max_Min_Precipitations
3.0,0.0,3.0,3.0,0,1.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0,71.256,28.0246,34.05,24.868599999999997
0.0,0.0,0.0,0.0,0,5.0,2.0,3.0,3.0,0,7.0,4.0,4.0,3.0,1,117.58250000000001,0.0,94.066,94.066
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,9.0,3.0,6.0,6.0,0,50.094100000000005,6.2618,25.047,18.7852
1.0,0.0,1.0,1.0,0,14.0,0.0,13.0,13.0,0,10.0,6.0,6.0,6.0,1,18.2821,12.1881,12.1881,12.1881
1.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,13.4728,0.0,6.7364,6.7364
4.0,3.0,3.0,3.0,1,1.0,0.0,1.0,1.0,0,4.0,2.0,2.0,2.0,0,52.5751,5.2575,31.5451,26.2876
2.0,0.0,1.0,1.0,0,1.0,0.0,1.0,1.0,0,2.0,0.0,2.0,2.0,0,27.9654,13.9827,13.9827,13.9827
24.0,0.0,16.0,16.0,0,0.0,0.0,0.0,0.0,0,4.0,3.0,3.0,3.0,1,7.3677,3.3785,3.3785,1.4631999999999998
5.0,4.0,4.0,4.0,1,1.0,1.0,1.0,1.0,1,4.0,2.0,2.0,2.0,0,45.182199999999995,25.1012,25.1012,25.1012
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,12.0,1.0,8.0,7.0,0,37.272,9.318,18.636,9.318
10.0,6.0,6.0,5.0,1,7.0,0.0,5.0,5.0,0,3.0,0.0,3.0,3.0,0,33.1055,8.2764,24.8291,24.8291
2.0,1.0,1.0,1.0,0,2.0,0.0,1.0,1.0,0,33.0,5.0,21.0,16.0,0,24.977,5.1462,14.8731,9.915400000000002
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,4.0,4.0,4.0,4.0,1,14.6909,0.0,14.6909,14.6909
0.0,0.0,0.0,0.0,0,2.0,1.0,1.0,1.0,0,1.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0
1.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
